Team Code,League,Division,W,L,PCT,GB,EAST.1,CENT,WEST,INTR,RHP,LHP
ATL,N,E,104,58,0.642,-,35-17,22-9,21-12,26-20,81-49,23-9
PHI,N,E,90,72,0.556,14,25-27,19-12,18-15,28-18,60-51,30-21
MIA,N,E,84,78,0.519,20,26-26,18-15,14-17,26-20,64-59,20-19
NYM,N,E,75,87,0.463,29,25-27,13-19,18-14,19-27,57-52,18-35
WSH,N,E,71,91,0.438,33,19-33,14-19,15-16,23-23,47-60,24-31
MIL,N,C,92,70,0.568,-,18-14,33-19,13-19,28-18,70-44,22-26
CHC,N,C,83,79,0.512,9,20-Nov,30-22,17-16,25-21,55-57,28-22
CIN,N,C,82,80,0.506,10,15-17,21-31,18-14,28-18,59-55,23-25
PIT,N,C,76,86,0.469,16,16-17,25-27,16-15,19-27,50-58,26-28
STL,N,C,71,91,0.438,21,14-18,21-31,13-19,23-23,54-66,17-25
LAD,N,W,100,62,0.617,-,17-14,19-14,34-18,30-16,74-39,26-23
ARI,N,W,84,78,0.519,16,14-18,20-12,29-23,21-25,56-57,28-21
SD,N,W,82,80,0.506,18,16-16,21-Nov,27-25,28-18,54-61,28-19
SF,N,W,79,83,0.488,21,13-18,20-13,26-26,20-26,49-63,30-20
COL,N,W,59,103,0.364,41,14-20,13-17,14-38,18-28,37-74,22-29
BAL,A,E,101,61,0.623,-,32-20,22-10,21-11,26-20,65-44,36-17
TB,A,E,99,63,0.611,2,31-21,23-9,18-14,27-19,75-52,24-11
TOR,A,E,89,73,0.549,12,21-31,22-10,16-16,30-16,69-58,20-15
NYY,A,E,82,80,0.506,19,22-30,18-14,19-13,23-23,67-67,15-13
BOS,A,E,78,84,0.481,23,24-28,19-13,15-17,20-26,54-66,24-18
MIN,A,C,87,75,0.537,-,13-19,29-23,20-12,25-21,66-58,21-17
DET,A,C,78,84,0.481,9,25-Jul,35-17,15-17,21-25,62-62,16-22
CLE,A,C,76,86,0.469,11,16-16,23-29,17-15,20-26,52-51,24-35
CHW,A,C,61,101,0.377,26,20-Nov,23-29,21-Dec,15-31,47-77,14-24
KC,A,C,56,106,0.346,31,24-Sep,20-32,20-Nov,16-30,42-79,14-27
HOU,A,W,90,72,0.556,-,16-17,14-17,32-20,28-18,62-51,28-21
TEX,A,W,90,72,0.556,-,20-12,19-13,29-23,22-24,63-57,27-15
SEA,A,W,88,74,0.543,2,13-18,20-13,33-19,22-24,65-55,23-19
LAA,A,W,73,89,0.451,17,14-18,18-14,22-30,19-27,57-64,16-25
OAK,A,W,50,112,0.309,40,24-Aug,14-18,14-38,14-32,31-85,19-27
