Tm,R/G,G,R,H,RA/G,ERA, Rank,Team Code,Roster,26-Man Payroll,Injured Reserve,Retained,Buried,Suspended,2023 Total Payroll
Arizona Diamondbacks,4.60,162,746,1359,4.70,4.47, 21,ARI,28,60263998,11197775,39202529,8593349,-,119257651
Atlanta Braves,5.85,162,947,1543,4.42,4.14, 10,ATL,30,158186507,34160535,11447888,2444201,-,206239131
Baltimore Orioles,4.98,162,807,1399,4.19,3.89, 28,BAL,29,53159734,3179476,9861733,4860104,-,71061047
Boston Red Sox,4.77,162,772,1437,4.79,4.52, 13,BOS,28,128063857,28736341,22444333,3682265,-,182926796
Chicago Cubs,5.06,162,819,1399,4.46,4.08, 11,CHC,28,134251105,12522069,36123285,6732899,-,189629358
Chicago White Sox,3.96,162,641,1308,5.19,4.87, 15,CHW,27,93892616,29117329,38812106,1041785,-,162863836
Cincinnati Reds,4.83,162,783,1371,5.07,4.83, 23,CIN,28,44815845,9699072,38896450,3165921,-,96577288
Cleveland Guardians,4.09,162,662,1379,4.30,3.99, 26,CLE,28,54881912,1881400,30397406,4108646,-,91861627
Colorado Rockies,4.45,162,721,1368,5.91,5.67, 14,COL,28,75181741,46742764,47613189,1488913,-,171026607
Detroit Tigers,4.08,162,661,1293,4.57,4.24, 20,DET,28,82493535,20259107,15005322,3736550,-,121494514
Houston Astros,5.10,162,827,1441,4.31,3.94, 7,HOU,28,211270410,16713200,2830000,2694138,-,237107748
Kansas City Royals,4.17,162,676,1325,5.30,5.17, 24,KC,28,54242001,17014952,22659571,2167329,-,96083853
Los Angeles Angels,4.56,162,739,1346,5.12,4.64, 8,LAA,28,43769159,147537321,28243281,3984515,-,230534276
Los Angeles Dodgers,5.59,162,906,1422,4.31,4.06, 6,LAD,28,149705968,33764202,34802727,1290369,-,240278296
Miami Marlins,4.11,162,666,1423,4.46,4.22, 22,MIA,28,67982517,25595861,10698514,1158917,-,105435809
Milwaukee Brewers,4.49,162,728,1291,3.99,3.71, 19,MIL,28,86339557,11924851,13590062,13185808,720000,125338345
Minnesota Twins,4.80,162,778,1335,4.07,3.87, 16,MIN,28,77967521,71263008,3421766,3452245,-,156104540
New York Mets,4.43,162,717,1275,4.51,4.29, 1,NYM,28,104157606,76849257,158207683,4390521,-,343605067
New York Yankees,4.15,162,673,1207,4.31,3.97, 2,NYY,28,181566625,56431231,35880817,1452477,3320000,278651150
Oakland Athletics,3.61,162,585,1187,5.70,5.48, 30,OAK,27,31196397,7178987,16193039,7674804,-,62243227
Philadelphia Phillies,4.91,162,796,1417,4.41,4.0, 5,PHI,28,218609553,12530327,3345770,10933645,-,245419295
Pittsburgh Pirates,4.27,162,692,1293,4.88,4.60, 29,PIT,28,30946061,15713351,17801293,4485270,-,68945975
San Diego Padres,4.64,162,752,1316,4.00,3.73, 3,SD,28,164623555,71689912,16420993,3311228,-,256045688
Seattle Mariners,4.68,162,758,1332,4.07,3.74, 12,SEA,28,71896948,33907168,24571247,4091540,-,134466903
San Francisco Giants,4.16,162,674,1271,4.44,4.02, 18,SF,28,130565831,39922449,15271991,1637894,-,187398165
St. Louis Cardinals,4.44,162,719,1376,5.12,4.79, 17,STL,28,83908832,48168555,20560215,1155426,-,153793028
Tampa Bay Rays,5.31,162,860,1432,4.10,3.86, 27,TB,28,52744710,15788201,2956334,5410482,-,79354272
Texas Rangers,5.44,162,881,1470,4.42,4.28, 4,TEX,28,148828188,96208979,4993881,1301706,-,251332754
Toronto Blue Jays,4.60,162,746,1423,4.14,3.78, 9,TOR,28,194200854,6851292,9776101,3802638,-,214630885
Washington Nationals,4.32,162,700,1401,5.22,5.02, 25,WSH,28,49949016,32648896,7902056,2646435,-,93378663
