,Team Code,Name,Series,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,WPA,cWPA,G.1,AB.1,R.1,H.1,HR.1,RBI.1,SB.1,BA.1,OPS.1,RegOPS,wcOPS,dsOPS,dcOPS,wsOPS
234,ARI,Alek Thomas*,nlcs,7,14,4,3,0,0,2,4,2,2,0.214,0.294,0.643,0.937,1,0,0,0.21,4.66%,125,374,51,86,9,39,9,0.23,0.647,0.647,0.625,0.93,0.937,0.524
231,ARI,Andrew Saalfrank*,nlcs,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
228,ARI,Brandon Pfaadt,nlcs,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
236,ARI,Christian Walker,nlcs,7,22,2,2,1,0,0,2,7,9,0.091,0.31,0.136,0.447,2,0,0,-0.22,-4.31%,157,582,86,150,33,103,11,0.258,0.83,0.83,0.944,1.095,0.447,0.729
212,ARI,Corbin Carroll*,nlcs,7,27,3,6,0,0,0,2,1,5,0.222,0.267,0.222,0.489,2,0,0,-0.02,6.83%,155,565,116,161,25,76,54,0.285,0.868,0.868,1.81,1.1,0.489,0.61
230,ARI,Emmanuel Rivera,nlcs,5,12,1,2,0,0,0,1,0,2,0.167,0.167,0.167,0.333,0,0,1,-0.47,-6.29%,86,257,32,67,4,29,1,0.261,0.672,0.672,0,0,0.333,1.1
221,ARI,Evan Longoria,nlcs,7,19,1,2,1,0,0,1,3,9,0.105,0.227,0.158,0.385,0,0,0,-0.35,-8.62%,74,211,25,47,11,28,0,0.223,0.717,0.717,0.25,0.55,0.385,0.636
224,ARI,Gabriel Moreno,nlcs,7,27,0,8,1,0,0,3,3,7,0.296,0.367,0.333,0.7,0,0,1,0.48,11.82%,111,341,33,97,7,50,6,0.284,0.747,0.747,1.133,1.091,0.7,0.527
227,ARI,Geraldo Perdomo#,nlcs,7,24,4,8,0,0,1,2,1,8,0.333,0.36,0.458,0.818,1,0,0,-0.1,-2.37%,144,407,71,100,6,47,16,0.246,0.712,0.712,0.821,0.722,0.818,0.62
252,ARI,Jace Peterson*,nlds,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.07%,*133,374,35,79,6,37,15,0.211,0.611,0.611,0,0,0,0
222,ARI,Joe Mantiply,nlcs,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
220,ARI,Jordan Lawlar,nlcs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,14,31,2,4,0,0,1,0.129,0.335,0.335,0,0,0,0
244,ARI,Jose Herrera#,nlds,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04%,41,101,15,21,0,7,1,0.208,0.553,0.553,0.333,0,0,0
223,ARI,Ketel Marte#,nlcs,7,31,2,12,4,1,0,3,1,10,0.387,0.406,0.581,0.987,1,0,2,0.35,5.08%,150,569,94,157,25,82,8,0.276,0.844,0.844,0.958,1,0.987,0.725
217,ARI,Kevin Ginkel*,nlcs,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,1,0,0,0,0,0,0,,,0,0,0,0,0
225,ARI,Kyle Nelson*,nlcs,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,1,0,0,0,0,0,0,,,0,0,0,0,0
218,ARI,Lourdes Gurriel Jr.,nlcs,7,27,2,7,2,0,1,2,1,6,0.259,0.286,0.444,0.73,2,0,0,0.19,2.83%,145,551,65,144,24,82,5,0.261,0.772,0.772,0.25,0.923,0.73,0.85
215,ARI,Luis Frías,nlcs,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,1,0,0,0,0,0,0,,,0,0,0,0,0
219,ARI,Merrill Kelly,nlcs,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
213,ARI,Miguel Castro,nlcs,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,2,0,0,0,0,0,0,,,0,0,0,0,0
232,ARI,Paul Sewald,nlcs,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,*2,0,0,0,0,0,0,,,0,0,0,0,0
233,ARI,Pavin Smith*,nlcs,6,9,1,3,0,0,0,0,0,2,0.333,0.333,0.333,0.667,0,0,0,0,-3.24%,69,191,26,36,7,30,1,0.188,0.642,0.642,0,0,0.667,0
235,ARI,Ryan Thompson,nlcs,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,*0,,,,,,,,,0,0,0,0,0
226,ARI,Ryne Nelson,nlcs,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
214,ARI,Slade Cecconi,nlcs,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
229,ARI,Tommy Pham,nlcs,6,20,1,2,0,0,1,1,0,9,0.1,0.1,0.25,0.35,0,0,0,-0.27,-6.21%,*129,426,55,109,16,68,22,0.256,0.774,0.774,0.347,1.071,0.35,1.165
216,ARI,Zac Gallen,nlcs,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
85,ATL,A.J. Minter*,nlds,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
92,ATL,AJ Smith-Shawver,nlds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
90,ATL,Austin Riley,nlds,4,17,2,6,0,0,2,3,0,6,0.353,0.353,0.706,1.059,0,0,0,0.55,5.32%,159,636,117,179,37,97,3,0.281,0.861,0.861,0,1.059,0,0
78,ATL,Brad Hand*,nlds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,*0,,,,,,,,,0,0,0,0,0
75,ATL,Bryce Elder,nlds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
80,ATL,Daysbel Hernández,nlds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
91,ATL,Eddie Rosario*,nlds,4,7,0,1,0,0,0,0,0,3,0.143,0.143,0.143,0.286,0,0,0,-0.08,-1.13%,142,478,64,122,21,74,3,0.255,0.755,0.755,0,0.286,0,0
95,ATL,Forrest Wall*,nlds,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05%,15,13,6,6,1,2,5,0.462,1.379,1.379,0,0,0,0
82,ATL,Joe Jiménez,nlds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,1,0,0,0,0,0,0,,,0,0,0,0,0
89,ATL,Kevin Pillar,nlds,4,5,0,0,0,0,0,0,2,3,0,0.286,0,0.286,0,0,0,-0.22,-2.68%,81,197,29,45,9,32,4,0.228,0.664,0.664,0,0.286,0,0
96,ATL,Kirby Yates*,nlds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
88,ATL,Marcell Ozuna,nlds,4,13,1,2,0,0,0,0,2,4,0.154,0.267,0.154,0.421,0,0,,-0.27,-2.98%,144,530,84,145,40,100,0,0.274,0.905,0.905,0,0.421,0,0
87,ATL,Matt Olson*,nlds,4,16,1,4,0,0,0,0,1,1,0.25,0.294,0.25,0.544,0,0,0,-0.05,-0.47%,162,608,127,172,54,139,1,0.283,0.993,0.993,0,0.544,0,0
76,ATL,Max Fried*,nlds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
79,ATL,Michael Harris II*,nlds,4,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-0.34,-3.42%,138,505,76,148,18,57,20,0.293,0.808,0.808,0,0,0,0
94,ATL,Michael Tonkin,nlds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
84,ATL,Nicky Lopez*,nlds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,*93,225,32,52,1,25,6,0.231,0.632,0.632,0,0,0,0
73,ATL,Orlando Arcia,nlds,4,13,0,2,0,0,0,1,1,4,0.154,0.214,0.154,0.368,0,0,0,-0.11,-1.16%,139,488,66,129,17,65,1,0.264,0.741,0.741,0,0.368,0,0
72,ATL,Ozzie Albies#,nlds,4,15,0,4,0,0,0,1,2,3,0.267,0.353,0.267,0.62,0,1,0,-0.14,-1.36%,148,596,96,167,33,109,13,0.28,0.849,0.849,0,0.62,0,0
83,ATL,Pierce Johnson,nlds,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,*1,0,0,0,0,0,0,,,0,0,0,0,0
81,ATL,Raisel Iglesias,nlds,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
71,ATL,Ronald Acuna Jr.,nlds,4,14,3,2,1,0,0,0,2,2,0.143,0.294,0.214,0.508,2,0,0,-0.22,-2.61%,159,643,149,217,41,106,73,0.337,1.012,1.012,0,0.508,0,0
86,ATL,Sean Murphy,nlds,2,7,0,2,0,0,0,0,0,2,0.286,0.286,0.286,0.571,0,0,1,0.07,1.18%,108,370,65,93,21,68,0,0.251,0.844,0.844,0,0.571,0,0
93,ATL,Spencer Strider,nlds,2,0,0,0,0,0,0,0,0,0,,,,,0,0,1,0,0.00%,0,,,,,,,,,0,0,0,0,0
74,ATL,Travis d'Arnaud,nlds,3,7,1,1,0,0,1,2,1,2,0.143,0.25,0.571,0.821,0,0,1,0.14,1.41%,74,267,31,60,11,39,0,0.225,0.685,0.685,0,0.821,0,0
77,ATL,Vaughn Grissom,nlds,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,-0.08,-0.99%,23,75,5,21,0,9,0,0.28,0.659,0.659,0,0,0,0
480,BAL,Aaron Hicks#,alds,3,8,1,2,0,0,1,5,2,1,0.25,0.4,0.625,1.025,0,0,0,0.14,1.25%,*93,269,44,68,8,36,6,0.253,0.735,0.735,0,1.025,0,0
475,BAL,Adam Frazier*,alds,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19,-1.83%,141,412,59,99,13,60,11,0.24,0.696,0.696,0,0,0,0
488,BAL,Adley Rutschman#,alds,3,12,0,1,1,0,0,0,1,2,0.083,0.154,0.167,0.321,0,0,0,-0.09,-0.72%,154,588,84,163,20,80,1,0.277,0.809,0.809,0,0.321,0,0
489,BAL,Anthony Santander#,alds,3,11,2,3,0,0,1,1,2,0,0.273,0.385,0.545,0.93,0,0,0,-0.16,-1.46%,153,591,81,152,28,95,5,0.257,0.797,0.797,0,0.93,0,0
478,BAL,Austin Hays,alds,3,11,1,3,1,0,0,0,2,3,0.273,0.385,0.364,0.748,0,0,0,0.09,0.96%,144,520,76,143,16,67,5,0.275,0.769,0.769,0,0.748,0,0
470,BAL,Bryan Baker,alds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,2,0,0,0,0,0,0,,,0,0,0,0,0
484,BAL,Cedric Mullins*,alds,3,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-0.2,-1.84%,116,404,51,94,15,74,19,0.233,0.721,0.721,0,0,0,0
486,BAL,Cionel Pérez,alds,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,3,0,0,0,0,0,0,,,0,0,0,0,0
473,BAL,Danny Coulombe*,alds,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,2,0,0,0,0,0,0,,,0,0,0,0,0
481,BAL,Dean Kremer,alds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
477,BAL,DL Hall*,alds,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,1,0,0,0,0,0,0,,,0,0,0,0,0
487,BAL,Grayson Rodriguez*,alds,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.00%,0,,,,,,,,,0,0,0,0,0
